0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys
61,159.01,114.75,84.13,61,156.23,112.94,82.74,61,155.5,110.31,75.42,61,156.91,114.57,89.28,61,157.92,115.02,90.02,61,160.24,113.97,84.06
62,155.38,112.93,82.19,62,155.8,112.84,82.12,62,153.43,109.2,74.57,62,160.08,116.18,91.02,62,155.84,114.1,88.29,62,155.53,111.77,81.82
63,156.12,113.26,82.75,63,155.5,112.51,81.77,63,155.36,110.37,75.93,63,157.58,115.06,89.71,63,156.05,114.17,88.59,63,157.19,112.57,82.7
64,155.15,112.84,82.04,64,156.16,113,82.84,64,155.59,110.49,76.07,64,161.06,116.94,91.54,64,158.77,115.76,90.22,64,160.13,114.57,84.96
65,157.1,113.73,83.35,65,156.56,113.31,83.04,65,160.57,112.48,77.5,65,156.98,114.7,89.57,65,160.09,116.59,90.8,65,157.03,112.69,83.14
66,155.52,113,82.84,66,156.41,113.46,82.56,66,160.5,113.24,78.54,66,160.07,116.69,91.38,66,159.22,116.26,90.67,66,156.02,112.14,82.41
67,156.18,113.3,82.74,67,157.15,113.86,83.18,67,157.56,111.89,76.99,67,157.23,114.95,89.5,67,161.81,117.6,91.86,67,158.55,113.57,84.03
68,157.77,114.35,84.45,68,160.1,115.56,84.49,68,155.97,110.85,76.2,68,159.37,116.25,90.91,68,160.44,117.15,90.9,68,160.94,115.04,85.5
69,157.4,114.26,83.7,69,157.75,114.3,83.58,69,158.95,112.74,77.82,69,160.96,117.29,91.6,69,160.68,117.34,91.38,69,161.44,115.43,85.25
70,157.23,114.27,83.52,70,160.13,115.69,84.49,70,159.13,112.6,78.02,70,160.12,116.86,91.28,70,161.1,117.43,91.39,70,158.78,113.81,84.04
71,157.87,114.68,84.08,71,157.31,114.03,83.13,71,158.01,112.19,76.95,71,160.71,117.37,91.71,71,159.67,116.85,90.79,71,157.96,113.6,83.41
72,159.54,115.48,84.34,72,157.89,114.42,83.47,72,156.66,111.56,76.2,72,159.97,116.91,90.8,72,160.91,117.51,91.28,72,162.16,116.02,85.83
73,157.95,114.81,84,73,158.85,115.11,83.9,73,160.47,113.64,78.49,73,160.2,117.05,91.19,73,160.98,117.52,91.53,73,161.45,115.71,85.58
74,158.21,114.96,83.98,74,159.75,115.65,84.36,74,159.17,112.75,77.45,74,162.09,118.1,92.43,74,161.09,117.92,91.33,74,163.16,116.78,86.75
75,158.62,115.38,84.21,75,162.23,117.18,85.68,75,159.63,113.41,77.97,75,161.15,117.8,91.82,75,160.41,117.44,91.01,75,160.87,115.45,85.06
76,159.88,116.09,85,76,160.43,116.24,84.85,76,159.8,113.59,77.81,76,162.39,118.48,93.28,76,161.71,118.4,91.67,76,160.34,115.36,84.82
77,161.3,117,85.44,77,159.22,115.59,84.22,77,160.41,113.94,79,77,163.02,118.73,92.64,77,163.32,119.11,92.68,77,160.81,115.54,85.19
78,158.95,115.78,84.22,78,162.32,117.33,85.69,78,157.72,112.63,77.03,78,161.58,118.24,92.04,78,161.49,118.08,91.09,78,162.47,116.63,85.55
79,159.96,116.48,84.5,79,159.24,115.94,83.96,79,159.66,113.85,77.73,79,163.92,119.52,93.07,79,161.99,118.54,92.17,79,161.39,116.07,85.4
80,163.49,118.64,86.37,80,160.92,116.76,84.53,80,159.66,113.9,78.01,80,163.11,119.17,92.92,80,166.48,121.21,94.09,80,160.94,115.81,85.09
81,158.59,115.62,83.41,81,135.52,104.54,66.52,81,135.76,102.42,61.17,81,136.84,106.27,72.42,81,136.75,106.37,72.23,81,136.52,104.12,66.86
82,135.42,104.56,66.96,82,137.29,105.24,67.33,82,135.4,102.29,61.23,82,138.61,107.27,73.46,82,137.82,106.83,73.56,82,138.22,104.84,68.33
83,139.89,106.71,69.46,83,137.02,105.34,67.69,83,136.28,102.61,62.62,83,140.09,107.8,74.18,83,138.07,107.13,73.2,83,137.56,104.74,68.18
84,137,105.47,68.28,84,137.53,105.42,68.29,84,137.51,103.31,62.99,84,143.81,110.07,75.82,84,138.78,107.37,74.15,84,137.61,104.73,68.33
85,137.6,105.69,68.2,85,138.12,105.78,68.91,85,136.87,103.01,62.97,85,138.73,107.29,74.46,85,140.19,108.15,74.88,85,138.21,105.12,68.69
86,137.76,105.9,69.36,86,138.81,106.16,69.17,86,137.41,103.34,63.59,86,140.37,108.22,74.97,86,138.74,107.59,74.04,86,138.33,105.28,68.65
87,137.69,105.9,68.97,87,139.48,106.56,69.09,87,137.63,103.52,63.61,87,167.5,121.95,95.2,87,169.24,123.09,97.55,87,170.85,121.6,91.08
88,170.85,122.92,92.2,88,170.09,122.34,90.99,88,171.65,120.76,84.89,88,173.63,125.23,99.47,88,168.07,122.52,96.46,88,166.25,119.23,88.77
89,165.71,120.14,88.22,89,171.89,123.4,92.34,89,169.43,119.56,84.28,89,167.81,122.51,96.3,89,174.75,126.5,100.1,89,172.39,122.8,92.74
90,145.29,110.22,72.6,90,138.98,106.88,68.29,90,137.84,104.03,63.04,90,139.35,108.24,74.41,90,139.2,108.31,73.74,90,138.82,106.01,68.54
91,138.94,107.1,68.86,91,138.8,106.77,68.73,91,137.83,104.11,62.93,91,139.46,108.32,74.41,91,141.12,109.33,75.04,91,139.49,106.37,69.08
92,138.36,106.79,68.7,92,139.81,107.31,69.5,92,139.22,104.82,63.52,92,142.46,109.65,75.18,92,140.81,109.24,74.69,92,139.55,106.53,69.02
93,138.69,107.06,68.66,93,140.18,107.51,69.28,93,138.7,104.61,63.84,93,140.85,109.17,75.72,93,140.33,109,74.82,93,140.94,107.09,69.26
94,138.58,106.91,68.72,94,140.69,107.85,69.65,94,165.41,117.32,80.73,94,169.52,123.64,96.65,94,172.32,125.17,98.86,94,166.83,119.97,88.98
95,167.98,121.72,88.81,95,166.74,120.85,88.54,95,163.82,116.93,80.09,95,167.74,122.7,96.42,95,170.46,124.28,97.11,95,166.04,119.52,88.32
96,167.15,121.36,89.17,96,167.06,120.93,88.69,96,166.4,118.5,81.46,96,166.99,122.49,95.31,96,171.96,124.52,96.98,96,170.63,122.11,90.35
97,165.57,120.68,88.39,97,167.18,121.28,88.61,97,163.24,116.74,80.15,97,172.63,125.63,98.72,97,169.42,123.71,97.14,97,166.01,119.73,88.32
98,168.67,122.33,89.75,98,166.99,121.21,88.65,98,168.55,119.72,82.95,98,146.24,112.4,78.47,98,142.41,110.82,74.6,98,145.75,110.5,70.54
99,141.78,109.13,70.52,99,141.86,108.79,70.82,99,149.8,110.89,66.46,99,142.79,110.46,76.15,99,142.24,110.35,75.79,99,148.98,112.35,71.73
